Titulo,Comuna,Precio_CLP,Area_m2,Dormitorios,Baños,Estacionamientos,Precio_por_m2,Tamaño
DepartamentoenRosas,Santiago,,35.0,1.0,1.0,1,,Pequeño (35-54m2)
DepartamentoAVENIDASANTAROSA265-L1SANTALUCIA,Santiago,,32.0,1.0,1.0,0,,Studio / Mini (<35m2)
DepartamentoGRANAVENIDA6250COMUNADESANMIGUEL,San Miguel,,48.0,2.0,1.0,0,,Pequeño (35-54m2)
DEPTO2D/1B/E/BODapasosdelmetroSanMiguel,San Miguel,422000.0,,2.0,1.0,1,,Sin dato
DepartamentoenTilTil,Ñuñoa,,60.0,2.0,1.0,0,,Mediano (55-74m2)
DepartamentoCALLEALCALDEPEDROALARCON834-METROELLLANO,San Miguel,540000.0,67.0,3.0,2.0,0,8060.0,Mediano (55-74m2)
DEPARTAMENTOColon6479,La Cisterna,,,3.0,1.0,0,,Sin dato
DepartamentoCUARTAAVENIDA1350COMUNADESANMIGUEL,San Miguel,,47.0,2.0,2.0,0,,Pequeño (35-54m2)
DepartamentoenDomingoFaustinoSarmiento,Ñuñoa,555000.0,36.0,1.0,1.0,1,15417.0,Pequeño (35-54m2)
DepartamentoCALLEMAPOCHO1522COMUNADESANTIAGO,Santiago,,26.0,1.0,1.0,0,,Studio / Mini (<35m2)
DepartamentoenRosas,Santiago,,35.0,1.0,1.0,1,,Pequeño (35-54m2)
"DepartamentoCALLESANFRANCISCO294,SANTIAGOCENTRO",Santiago,,28.0,1.0,1.0,0,,Studio / Mini (<35m2)
DepartamentoenCalleElMolino,Independencia,,27.0,1.0,1.0,0,,Studio / Mini (<35m2)
Depto.Ñuñoacuadrasmetroirrarazabal-2D/2B-Estacionamiento,Ñuñoa,620000.0,55.0,2.0,2.0,1,11273.0,Mediano (55-74m2)
DEPARTAMENTODIAGONALSANTAELENA2565,San Joaquín,,50.0,2.0,1.0,0,,Pequeño (35-54m2)
DepartamentoCALLESANTAROSA835-METROMATTA2D+1B1ERMES50%DSCTO,Santiago,320000.0,40.0,2.0,1.0,0,8000.0,Pequeño (35-54m2)
DEPARTAMENTOVicunaMackena,Santiago,330000.0,,2.0,1.0,0,,Sin dato
HERMOSOYAMPLIODEP02H02B01TERRAZAYESTACIONAMIENTOSANIGNACIODELOYOLA633,Santiago,400000.0,68.0,2.0,2.0,1,5882.0,Mediano (55-74m2)
DUEÑOARRIENDAEXCELENTEDEPTOCENTROA2CUADRASMETROBELLASARTESPRECIOSAVISTA,Santiago,,,1.0,1.0,0,,Sin dato
Arriendo-ComunaSanMiguel-Santiago,San Miguel,65000.0,,3.0,2.0,1,,Sin dato
Departamentoreciénremodelado!SanPablo1503,Santiago,330000.0,,2.0,1.0,0,,Sin dato
DEPARTAMENTOCarmen110,Santiago,,,1.0,1.0,0,,Sin dato
ArriendoDepartamentoSantiagoCentroCod.2308,Santiago,,,1.0,1.0,0,,Sin dato
DEPARTAMENTOMetroCerroBlanco,Recoleta,360000.0,53.0,2.0,2.0,0,6792.0,Pequeño (35-54m2)
ExcelenteDptoConEstacionamiento.Cod.143,Ñuñoa,60000.0,,1.0,1.0,1,,Sin dato
Departamento3D+1BconestacionamientoStaRosaII-Arriendasudueño,San Miguel,,,3.0,1.0,1,,Sin dato
DepartamentoSantiagoCentro,Santiago,,,1.0,1.0,0,,Sin dato
DEPARTAMENTOMetroLoVial,San Miguel,,38.0,1.0,1.0,0,,Pequeño (35-54m2)
DEPARTAMENTOObispoUmaña030,Estación Central,300000.0,55.0,3.0,2.0,0,5455.0,Mediano (55-74m2)
Arriendodepartamento,Estación Central,320000.0,,2.0,1.0,0,,Sin dato
Depto2D/2B/E/BODapasosdelmetroL2yL6,San Miguel,,,2.0,2.0,1,,Sin dato
Depto2D/1B/E/BODapasosdelmetroL2yL6,San Miguel,369000.0,,2.0,1.0,1,,Sin dato
ExcelenteDptoConEstacionamiento.Cod.143,Ñuñoa,60000.0,,1.0,1.0,1,,Sin dato
